"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","81","86","6","66.865707","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","60","66","2","51.102005","0","0"
"Globals","0","2715","0","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","36","38","1","42.684692","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","879","904","1","778.956421","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","148","148","1","200.533997","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","20","20","1","15.422241","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","10","10","1","9.335423","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","49","51","1","71.046432","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","10","10","1","12.378690","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","15","15","1","19.946680","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","4","4","1","3.954421","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","10","10","1","11.078971","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","573","623","1","401.390869","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","27","27","1","31.395086","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","10","10","1","9.514023","0","0"
"/Game/Menu/Resources/PieSliceMaterial.PieSliceMaterial","0","17","17","1","12.986246","0","0"
"/Game/Materials/PP_OutlineMaterial.PP_OutlineMaterial","0","6","6","1","5.196587","0","0"
"/Game/Materials/PP_EdgeTraceMaterial.PP_EdgeTraceMaterial","0","6","6","1","5.541710","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","128","128","1","145.984894","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","6","6","1","13.557327","0","0"
"/OculusVR/Materials/OculusMR_WhiteMaterial.OculusMR_WhiteMaterial","0","10","10","1","7.728312","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","10","10","1","10.954065","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey_Lit.OculusMR_ChromaKey_Lit","0","31","31","1","202.828629","0","0"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","4","4","1","3.166979","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","4","1","2.811495","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","12","12","1","10.420959","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","12","12","1","13.124957","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","29","29","1","32.699490","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","9","10","1","7.071719","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","19","20","1","16.224667","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","20","20","1","12.528765","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","9","10","1","7.725811","0","0"
"/Game/Objects/UE4_Mannequin_Mobile/Materials/M_UE4Man_Body.M_UE4Man_Body","0","196","208","2","179.206940","0","0"
"/Game/Materials/M_Textured.M_Textured","0","15","15","1","20.769323","0","0"
"/Game/Materials/M_Region.M_Region","0","35","36","1","51.250698","0","0"
"/RuntimeTransformer/GizmoMaterials/M_Gizmos.M_Gizmos","0","10","10","1","12.219869","0","0"
"/Game/BehavioralAnalysis/HeatmapMaterial.HeatmapMaterial","0","36","38","1","38.110355","0","0"
"/Game/BehavioralAnalysis/BehaviorPathMaterial.BehaviorPathMaterial","0","8","8","1","5.597474","0","0"
